Pes_atur,Nom_Barri,Codi_Barri,Poblacio_16_64_anys,Mes
10.7,la Prosperitat,52,16606,10
16,la Trinitat Nova,53,5082,10
11.3,Torre Baró,54,1996,10
16.6,Ciutat Meridiana,55,7070,10
15.3,Vallbona,56,893,10
10,Vilapicina i la Torre Llobeta,44,16192,11
9.6,Porta,45,16782,11
9.9,el Turó de la Peira,46,10172,11
9.9,Can Peguera,47,1406,11
12.5,la Guineueta,48,8971,11
13.2,Canyelles,49,4135,11
11,les Roquetes,50,10739,11
11.2,Verdun,51,8117,11
10.8,la Prosperitat,52,16606,11
15.9,la Trinitat Nova,53,5082,11
11.2,Torre Baró,54,1996,11
16.5,Ciutat Meridiana,55,7070,11
15.2,Vallbona,56,893,11
12.3,la Trinitat Vella,57,6917,1
6.8,Baró de Viver,58,1732,1
7.9,el Bon Pastor,59,8481,1
7.4,Sant Andreu,60,36844,1
6.5,la Sagrera,61,18519,1
6.2,el Congrés i els Indians,62,9449,1
6.3,Navas,63,14220,1
12.3,la Trinitat Vella,57,6917,2
6.9,Baró de Viver,58,1732,2
8,el Bon Pastor,59,8481,2
7.5,Sant Andreu,60,36844,2
6.6,la Sagrera,61,18519,2
6.3,el Congrés i els Indians,62,9449,2
6.4,Navas,63,14220,2
12.8,la Trinitat Vella,57,6917,3
7.4,Baró de Viver,58,1732,3
8.6,el Bon Pastor,59,8481,3
8,Sant Andreu,60,36844,3
7.2,la Sagrera,61,18519,3
6.9,el Congrés i els Indians,62,9449,3
7,Navas,63,14220,3
14.1,la Trinitat Vella,57,6917,4
8,Baró de Viver,58,1732,4
9.3,el Bon Pastor,59,8481,4
8.7,Sant Andreu,60,36844,4
8.1,la Sagrera,61,18519,4
7.8,el Congrés i els Indians,62,9449,4
7.9,Navas,63,14220,4
14.9,la Trinitat Vella,57,6917,5
8.3,Baró de Viver,58,1732,5
9.7,el Bon Pastor,59,8481,5
9,Sant Andreu,60,36844,5
8.4,la Sagrera,61,18519,5
8,el Congrés i els Indians,62,9449,5
8.2,Navas,63,14220,5
15.6,la Trinitat Vella,57,6917,6
8.4,Baró de Viver,58,1732,6
9.7,el Bon Pastor,59,8481,6
9.1,Sant Andreu,60,36844,6
8.5,la Sagrera,61,18519,6
8.1,el Congrés i els Indians,62,9449,6
8.3,Navas,63,14220,6
15.2,la Trinitat Vella,57,6917,7
8.2,Baró de Viver,58,1732,7
9.6,el Bon Pastor,59,8481,7
8.9,Sant Andreu,60,36844,7
8.4,la Sagrera,61,18519,7
8,el Congrés i els Indians,62,9449,7
8.2,Navas,63,14220,7
15.6,la Trinitat Vella,57,6917,8
8.4,Baró de Viver,58,1732,8
9.8,el Bon Pastor,59,8481,8
9.1,Sant Andreu,60,36844,8
8.6,la Sagrera,61,18519,8
8.2,el Congrés i els Indians,62,9449,8
8.4,Navas,63,14220,8
15.3,la Trinitat Vella,57,6917,9
8.2,Baró de Viver,58,1732,9
9.5,el Bon Pastor,59,8481,9
8.9,Sant Andreu,60,36844,9
8.4,la Sagrera,61,18519,9
8.1,el Congrés i els Indians,62,9449,9
8.2,Navas,63,14220,9
15.7,la Trinitat Vella,57,6917,10
8.3,Baró de Viver,58,1732,10
9.6,el Bon Pastor,59,8481,10
9,Sant Andreu,60,36844,10
8.5,la Sagrera,61,18519,10
8.1,el Congrés i els Indians,62,9449,10
8.3,Navas,63,14220,10
15.6,la Trinitat Vella,57,6917,11
8.1,Baró de Viver,58,1732,11
9.4,el Bon Pastor,59,8481,11
8.8,Sant Andreu,60,36844,11
8.5,la Sagrera,61,18519,11
8.1,el Congrés i els Indians,62,9449,11
8.3,Navas,63,14220,11
6.9,el Camp de l'Arpa del Clot,64,25518,1
6.7,el Clot,65,18066,1
5.7,el Parc i la Llacuna del Poblenou,66,10558,1
6.4,la Vila Olímpica del Poblenou,67,6474,1
6.2,el Poblenou,68,22944,1
7.1,Diagonal Mar i el Front Marítim del Poblenou,69,8858,1
8.7,el Besòs i el Maresme,70,16577,1
6.7,Provençals del Poblenou,71,14217,1
8.1,Sant Martí de Provençals,72,16219,1
8.4,la Verneda i la Pau,73,17577,1
7,el Camp de l'Arpa del Clot,64,25518,2
6.8,el Clot,65,18066,2
5.7,el Parc i la Llacuna del Poblenou,66,10558,2
6.3,la Vila Olímpica del Poblenou,67,6474,2
6.1,el Poblenou,68,22944,2
7.3,Diagonal Mar i el Front Marítim del Poblenou,69,8858,2
8.8,el Besòs i el Maresme,70,16577,2
6.8,Provençals del Poblenou,71,14217,2
8.2,Sant Martí de Provençals,72,16219,2
8.6,la Verneda i la Pau,73,17577,2
7.7,el Camp de l'Arpa del Clot,64,25518,3
7.3,el Clot,65,18066,3
6,el Parc i la Llacuna del Poblenou,66,10558,3
6.6,la Vila Olímpica del Poblenou,67,6474,3
6.4,el Poblenou,68,22944,3
7.7,Diagonal Mar i el Front Marítim del Poblenou,69,8858,3
9.4,el Besòs i el Maresme,70,16577,3
7.3,Provençals del Poblenou,71,14217,3
8.9,Sant Martí de Provençals,72,16219,3
9.3,la Verneda i la Pau,73,17577,3
8.6,el Camp de l'Arpa del Clot,64,25518,4
8.1,el Clot,65,18066,4
6.7,el Parc i la Llacuna del Poblenou,66,10558,4
7.5,la Vila Olímpica del Poblenou,67,6474,4
7.2,el Poblenou,68,22944,4
8.6,Diagonal Mar i el Front Marítim del Poblenou,69,8858,4
10.5,el Besòs i el Maresme,70,16577,4
8,Provençals del Poblenou,71,14217,4
9.7,Sant Martí de Provençals,72,16219,4
