,Numero_expedient,Dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_tipus_vehicle,Descripcio_model,Descripcio_marca,Descripcio_color,Descripcio_carnet,Antiguitat_carnet
159,2019S005956    ,Dv,2019,7,Juliol,26,20,Tarda,Motocicleta,OR125-25,ORCAL,Gris,B,26
160,2019S005956    ,Dv,2019,7,Juliol,26,20,Tarda,Turisme,ASTRA G COUPE,OPEL,Desconegut,B,4
161,2019S005341    ,Dv,2019,7,Juliol,5,23,Nit,Turisme,TOYOTA PRIUS PLUS,TOYOTA,Negre/Groc,B,15
162,2019S001555    ,Dc,2019,2,Febrer,27,0,Nit,Maquinària d'obres i serveis,540,RAVO,Blanc,B,28
163,2019S001555    ,Dc,2019,2,Febrer,27,0,Nit,Taxi,OCTAVIA,SKODA,Negre/Groc,B,2
164,2019S005199    ,Dm,2019,7,Juliol,2,10,Matí,"Camió rígid > 3,5 tones", ,IVECO FIAT,Vermell,C,15
165,2019S002610    ,Dc,2019,4,Abril,3,15,Tarda,Motocicleta,SH 125,HONDA,Blanc,B,13
166,2019S006543    ,Dc,2019,8,Agost,21,13,Matí,"Camió rígid <= 3,5 tones",AD190S27ÑP GNC,IVECO BUS,Desconegut,C,19
167,2019S006543    ,Dc,2019,8,Agost,21,13,Matí,Motocicleta,X8 125 PREMIUM,PIAGGIO,Blau,B,16
168,2019S000433    ,Dj,2019,1,Gener,17,15,Tarda,Furgoneta,VIVARO,OPEL,Blanc,B,14
169,2019S009174    ,Dc,2019,11,Novembre,27,13,Matí,Tot terreny,RANGE ROVER EVOQUE,LAND ROVER,Blanc,B,47
170,2019S009174    ,Dc,2019,11,Novembre,27,13,Matí,Turisme,LODGY,DACIA,Negre/Groc,B,3
171,2019S007979    ,Dm,2019,10,Octubre,15,10,Matí,Motocicleta,JF,HONDA,Gris,B,12
172,2019S007979    ,Dm,2019,10,Octubre,15,10,Matí,Motocicleta,WW125EX2,HONDA,Vermell,B,8
173,2019S006589    ,Dj,2019,8,Agost,22,13,Matí,Autobús,CITYCLASS 18 31,IRISBUS,Vermell,D,14
174,2019S006474    ,Ds,2019,8,Agost,17,15,Tarda,Motocicleta,SH 100,HONDA,Gris,B,17
175,2019S006474    ,Ds,2019,8,Agost,17,15,Tarda,Turisme,Desconegut,Desconegut,Blanc,Desconegut,Desconegut
176,2019S007418    ,Dj,2019,9,Setembre,26,21,Tarda,Ciclomotor,TWEET,PEUGEOT,Gris,AM,2
177,2019S007418    ,Dj,2019,9,Setembre,26,21,Tarda,Turisme,C 220 D,MERCEDES-BENZ,Gris,B,36
178,2019S007418    ,Dj,2019,9,Setembre,26,21,Tarda,Turisme,SPIDER,ALFA ROMEO,Negre,B,23
179,2019S006829    ,Dm,2019,9,Setembre,3,14,Tarda,Motocicleta,PEOPLE S 125,KYMCO,Gris,B,5
180,2019S006829    ,Dm,2019,9,Setembre,3,14,Tarda,Turisme,CADDY,VOLKSWAGEN,Negre/Groc,B,18
181,2019S000326    ,Dl,2019,1,Gener,14,16,Tarda,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut
182,2019S000326    ,Dl,2019,1,Gener,14,16,Tarda,Motocicleta,SH 300,HONDA,Gris,A,28
183,2019S000326    ,Dl,2019,1,Gener,14,16,Tarda,Turisme,IBIZA,SEAT,Blanc,B,2
184,2019S006998    ,Dl,2019,9,Setembre,9,21,Tarda,Autobús,K36OUB6X2*4,SCANIA,Blau,D,1
185,2019S000258    ,Dv,2019,1,Gener,11,13,Matí,Motocicleta,TWEET,PEUGEOT,Blanc,A,2
186,2019S000258    ,Dv,2019,1,Gener,11,13,Matí,Turisme,TOURAN,VOLKSWAGEN,Gris,B,21
187,2019S008671    ,Dv,2019,11,Novembre,8,16,Tarda,Motocicleta,GSF 650,SUZUKI,Gris,A,4
188,2019S001957    ,Dc,2019,3,Març,13,11,Matí,Turisme,IQ 1.0 MAN,TOYOTA,Blanc,B,53
189,2019S007671    ,Ds,2019,10,Octubre,5,1,Nit,"Camió rígid > 3,5 tones",AD260S27Y/PS GNC,IVECO BUS,Blanc,E D1,40
190,2019S007951    ,Dl,2019,10,Octubre,14,17,Tarda,Furgoneta,GRAND VOYAGER,CHRYSLER,Desconegut,B,17
191,2019S009135    ,Dm,2019,11,Novembre,26,10,Matí,"Camió rígid <= 3,5 tones",120EL,IVECO BUS,Desconegut,C,1
192,2019S000552    ,Dl,2019,1,Gener,21,18,Tarda,Autobús,CITYCLASS,IRISBUS,Vermell,D,4
193,2019S000552    ,Dl,2019,1,Gener,21,18,Tarda,Turisme,COOPER D,MINI,Negre,B,28
194,2019S003076    ,Dm,2019,4,Abril,23,7,Matí,Bicicleta,Desconegut,Desconegut,Vermell,Desconegut,Desconegut
