,accident_id,type_vehicle,model,brand,color,type_license,license_antiguity
11926,2018S009419    ,Motocicleta,SYMPHONY,SYM,Negre,B,7
11927,2018S009419    ,Tot terreny,PATROL,NISSAN,Gris,B,49
11928,2018S000291    ,Furgoneta,MASTER,RENAULT,Blanc,B,16
11929,2018S009480    ,AutobÃºs,Desconegut,MAN,Vermell,D,9
11930,2018S009480    ,Motocicleta,X Max,YAMAHA,Gris,B,29
11931,2018S007531    ,Ciclomotor,LIBERTY 50,PIAGGIO,Gris,AM,17
11932,2018S007531    ,Turisme,IBIZA,SEAT,Blanc,B,2
11933,2018S009190    ,AutobÃºs,Desconegut,MECEDES,Vermell,D,5
11934,2018S002525    ,Furgoneta,TRANSIT CO,FORD,Blanc,B,39
11935,2018S002525    ,Motocicleta,SR 250 SP,YAMAHA,Vermell,A2,4
11936,2018S002832    ,Ciclomotor,SH 50,HONDA,Negre,B,1
11937,2018S002832    ,Turisme,COOPER,MINI,Vermell,B,25
11938,2018S007457    ,Turisme,9-3. 2.0 M,SAAB,Gris,B,43
11939,2018S007457    ,Turisme,RAV - 4,TOYOTA,Blanc,B,2
11940,2018S001658    ,Turisme,307 3P XS,PEUGEOT,Gris,B,53
11941,2018S006433    ,Furgoneta,SCUDO,FIAT,Blanc,B,13
11942,2018S006433    ,Turisme,500,FIAT,Negre,B,5
11943,2018S009289    ,Motocicleta, ,HONDA,Negre,A2,7
11944,2018S009289    ,Turisme,Q5,AUDI,Negre,B,19
11945,2018S004049    ,Motocicleta,SH 125,HONDA,Negre,B,31
11946,2018S004049    ,Veh. mobilitat personal amb motor, ,ES DESCONEIX,Negre,Sense permÃ­s,Desconegut
11947,2018S000434    ,Motocicleta,Beverly,PIAGGIO,Blanc,B,22
11948,2018S000434    ,Taxi,PRIUS,TOYOTA,Negre/Groc,B,30
11949,2018S000434    ,Turisme,C4,CITROEN,Gris,Desconegut,Desconegut
11950,2018S008038    ,Furgoneta,TRANSIT CO,FORD,Blanc,B,18
11951,2018S008038    ,Turisme,JAZZ,HONDA,Vermell,B,15
11952,2018S009764    ,AutobÃºs,LION'S CIT,MAN,Vermell,D,17
11953,2018S004815    ,Furgoneta,TOURNEO,FORD,Blau,B,51
11954,2018S004815    ,Turisme,CORSA,OPEL,Blau,B,1
11955,2018S005897    ,Furgoneta,TRAFFIC,RENAULT,Gris,B,21
11956,2018S005897    ,Turisme,"I20, I20 A",HYUNDAI,Desconegut,B,6
11957,2018S000842    ,Furgoneta,DOKKER,DACIA,Blanc,B,30
11958,2018S000842    ,Motocicleta,LIBERTY,PIAGGIO,Gris,B,23
11959,2018S008952    ,Motocicleta,X Max,YAMAHA,granate,A,43
11960,2018S008952    ,Turisme,CIVIC,HONDA,Gris,B,60
11961,2018S000324    ,Motocicleta,EURO 125,SYM,Blau,A1,4
11962,2018S000324    ,Tot terreny,MACAN TURB,PORSCHE,Gris,B,28
11963,2018S000495    ,Motocicleta,PCX,HONDA,Gris,B,7
11964,2018S000495    ,Turisme,E 350,MERCEDES,Negre,B,27
11965,2018S000254    ,Ciclomotor,SH 50,HONDA,Blau,AM,26
11966,2018S000254    ,Motocicleta,SH 300,HONDA,Negre,B,17
11967,2018S004481    ,Motocicleta,SH 125,HONDA,Negre,B,45
11968,2018S004481    ,Taxi,PRIUS,TOYOTA,Negre/Groc,B,4
11969,2018S001441    ,Motocicleta,NSS250X,HONDA,Blanc,A,Desconegut
11970,2018S001441    ,Motocicleta,YP250RA,YAMAHA,Blanc,A,9
11971,2018S001231    ,Autocar,114,SCANIA,Blanc,D,6
11972,2018S001231    ,Ciclomotor,LIBERTY,PIAGGIO,Blanc,Desconegut,Desconegut
11973,2018S001231    ,Motocicleta,Beverly,PIAGGIO,MarrÃ³,Desconegut,Desconegut
11974,2018S001231    ,Motocicleta,SH 125,HONDA,Vermell,Desconegut,Desconegut
11975,2018S002299    ,Turisme,IBIZA,SEAT,Blanc,B,20
11976,2018S002299    ,Turisme,SWIFT,SUZUKI,Vermell,B,0
11977,2018S007118    ,Motocicleta,SH 125,HONDA,Negre,A1,5
11978,2018S007118    ,Turisme,LOGAN,DACIA,Blanc,B,25
11979,2018S001581    ,Motocicleta,SH 150,HONDA,Negre,A2,2
11980,2018S002263    ,Motocicleta,SH MODE,HONDA,Negre,B,22
11981,2018S002263    ,Turisme,E 320,MERCEDES,Platejat,B,29
11982,2018S003798    ,Motocicleta,SYMPHONY,SYM,Blanc,B,23
11983,2018S003798    ,Motocicleta,YP 250,YAMAHA,Violeta,B,34
11984,2018S009446    ,Motocicleta,NSC 110,HONDA,Blanc,B,14
11985,2018S009446    ,Turisme,POLO 1.4,VOLKSWAGEN,Gris,B,48
11986,2018S006842    ,Motocicleta,ER-6N,KAWASAKI,Taronja,A2,1
11987,2018S006842    ,Turisme,5008,PEUGEOT,Gris,B,17
11988,2018S001806    ,Turisme,320D,BMW,Desconegut,B,23
11989,2018S001806    ,Turisme,GOLF,VOLKSWAGEN,Desconegut,B,12
11990,2018S005299    ,AutobÃºs,O 530 G,MERCEDES,Vermell,D,24
11991,2018S005299    ,Taxi,TOLEDO,SEAT,Negre/Groc,B,7
11992,2018S003130    ,"CamiÃ³ rÃ­gid <= 3,5 tones",DUCATO,FIAT,Blanc,B,25
11993,2018S003130    ,Ciclomotor,SH 50,HONDA,Gris,AM,7
11994,2018S006506    ,Motocicleta,YP250R,YAMAHA,Negre,A2,1
11995,2018S006506    ,Turisme,CLK320,MERCEDES,Negre,B,14
11996,2018S009344    ,Motocicleta,ZII,MH MOTORCYCLES,Blanc,A2,2
11997,2018S009344    ,Taxi,OCTAVIA,SKODA,Negre/Groc,B,3
11998,2018S007491    ,Motocicleta,BURGMAN,SUZUKI,Blanc,B,20
