"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat any a any","Nombre"
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Home","55 anys",166
2015,10,"Sant Martí",71,"Provençals del Poblenou","Home","55 anys",158
2015,10,"Sant Martí",72,"Sant Martí de Provençals","Home","55 anys",190
2015,10,"Sant Martí",73,"la Verneda i la Pau","Home","55 anys",177
2015,1,"Ciutat Vella",1,"el Raval","Home","56 anys",248
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Home","56 anys",83
2015,1,"Ciutat Vella",3,"la Barceloneta","Home","56 anys",92
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","56 anys",121
2015,2,"Eixample",5,"el Fort Pienc","Home","56 anys",201
2015,2,"Eixample",6,"la Sagrada Família","Home","56 anys",322
2015,2,"Eixample",7,"la Dreta de l'Eixample","Home","56 anys",251
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","56 anys",291
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","56 anys",354
2015,2,"Eixample",10,"Sant Antoni","Home","56 anys",211
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Home","56 anys",225
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","56 anys",11
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Home","56 anys",187
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","56 anys",52
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Home","56 anys",105
2015,3,"Sants-Montjuïc",16,"la Bordeta","Home","56 anys",125
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Home","56 anys",159
2015,3,"Sants-Montjuïc",18,"Sants","Home","56 anys",252
2015,4,"Les Corts",19,"les Corts","Home","56 anys",276
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","56 anys",139
2015,4,"Les Corts",21,"Pedralbes","Home","56 anys",74
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","56 anys",35
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","56 anys",137
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","56 anys",102
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","56 anys",151
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","56 anys",234
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","56 anys",168
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Home","56 anys",88
2015,6,"Gràcia",29,"el Coll","Home","56 anys",37
2015,6,"Gràcia",30,"la Salut","Home","56 anys",69
2015,6,"Gràcia",31,"la Vila de Gràcia","Home","56 anys",269
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","56 anys",205
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","56 anys",138
2015,7,"Horta-Guinardó",34,"Can Baró","Home","56 anys",51
2015,7,"Horta-Guinardó",35,"el Guinardó","Home","56 anys",216
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","56 anys",63
2015,7,"Horta-Guinardó",37,"el Carmel","Home","56 anys",174
2015,7,"Horta-Guinardó",38,"la Teixonera","Home","56 anys",64
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","56 anys",39
2015,7,"Horta-Guinardó",40,"Montbau","Home","56 anys",26
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","56 anys",34
2015,7,"Horta-Guinardó",42,"la Clota","Home","56 anys",1
2015,7,"Horta-Guinardó",43,"Horta","Home","56 anys",160
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","56 anys",164
2015,8,"Nou Barris",45,"Porta","Home","56 anys",134
2015,8,"Nou Barris",46,"el Turó de la Peira","Home","56 anys",94
2015,8,"Nou Barris",47,"Can Peguera","Home","56 anys",20
2015,8,"Nou Barris",48,"la Guineueta","Home","56 anys",94
2015,8,"Nou Barris",49,"Canyelles","Home","56 anys",43
2015,8,"Nou Barris",50,"les Roquetes","Home","56 anys",80
2015,8,"Nou Barris",51,"Verdun","Home","56 anys",79
2015,8,"Nou Barris",52,"la Prosperitat","Home","56 anys",155
2015,8,"Nou Barris",53,"la Trinitat Nova","Home","56 anys",53
2015,8,"Nou Barris",54,"Torre Baró","Home","56 anys",13
2015,8,"Nou Barris",55,"Ciutat Meridiana","Home","56 anys",45
2015,8,"Nou Barris",56,"Vallbona","Home","56 anys",6
2015,9,"Sant Andreu",57,"la Trinitat Vella","Home","56 anys",49
2015,9,"Sant Andreu",58,"Baró de Viver","Home","56 anys",15
