,Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
9667,2017S010643    ,Eixample,la Sagrada Família,València / Lepant                                 ,Sunday,December,24,19,Afternoon,1,0,1,2,2.177825,41.403574
9971,2017S010646    ,Sarrià-Sant Gervasi,les Tres Torres,Doctor Carulla / Anglí                            ,Sunday,December,24,12,Morning,1,0,1,1,2.127206,41.398831
2,2017S010210    ,Unknown,Unknown,Litoral (Besòs)                                   ,Friday,December,8,21,Afternoon,5,0,5,2,2.1673561,41.360885499999995
275,2017S010193    ,Eixample,la Nova Esquerra de l'Eixample,Corts Catalanes                                   ,Thursday,December,7,13,Morning,1,0,1,2,2.155003,41.37912
633,2017S010181    ,Eixample,la Sagrada Família,Aragó / Marina                                    ,Wednesday,December,6,16,Afternoon,2,0,2,2,2.1778299999999997,41.401877
1039,2017S010197    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,Sardenya / Indústria                              ,Thursday,December,7,13,Morning,1,0,1,1,2.169782,41.406071000000004
1232,2017S010204    ,Sant Andreu,la Trinitat Vella,Meridiana                                         ,Friday,December,8,6,Morning,2,0,2,2,2.189238,41.4516
1405,2017S010176    ,Sant Martí,la Vila Olímpica del Poblenou,Voluntaris Olímpics / Marina                      ,Wednesday,December,6,6,Morning,1,0,1,1,2.1959470000000003,41.388026
1649,2017S010188    ,Eixample,l'Antiga Esquerra de l'Eixample,Aribau / Provença                                 ,Thursday,December,7,10,Morning,1,0,1,2,2.156225,41.390736
1877,2017S010203    ,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Llobregat)                               ,Friday,December,8,0,Night,4,0,4,3,2.124415,41.341083000000005
2400,2017S010180    ,Nou Barris,la Trinitat Nova,Meridiana                                         ,Wednesday,December,6,15,Afternoon,1,0,1,2,2.187968,41.449756
2781,2017S010177    ,Eixample,la Nova Esquerra de l'Eixample,Vilamarí / Roma                                   ,Wednesday,December,6,5,Night,1,0,1,2,2.145759,41.381586
2869,2017S010192    ,Eixample,la Sagrada Família,Aragó                                             ,Thursday,December,7,12,Morning,1,0,1,2,2.179017,41.403059000000006
3309,2017S010195    ,Les Corts,les Corts,Diagonal                                          ,Thursday,December,7,15,Afternoon,1,0,1,3,2.135784,41.391028999999996
3488,2017S010201    ,Sarrià-Sant Gervasi,el Putxet i el Farró,General Mitre / Pàdua                             ,Thursday,December,7,18,Afternoon,2,0,2,2,2.145436,41.405628
3639,2017S010209    ,Horta-Guinardó,el Guinardó,Maragall                                          ,Friday,December,8,22,Night,1,0,1,2,2.1802200000000003,41.4176
3722,2017S010205    ,Nou Barris,el Turó de la Peira,Travau / Canfranc                                 ,Thursday,December,7,16,Afternoon,2,0,2,1,2.167298,41.431535
3922,2017S010198    ,Sant Martí,el Poblenou,Litoral / Bogatell                                ,Thursday,December,7,13,Morning,1,0,1,2,2.20769,41.395759999999996
4042,2017S010199    ,Ciutat Vella,la Barceloneta,Litoral (Besòs)                                   ,Thursday,December,7,18,Afternoon,1,0,1,2,2.1910689999999997,41.384322
4443,2017S010182    ,Sants-Montjuïc,el Poble-sec,Estadi                                            ,Wednesday,December,6,19,Afternoon,2,0,2,2,2.150139,41.366747
4496,2017S010200    ,Sants-Montjuïc,la Marina del Prat Vermell,Transversal 11                                    ,Thursday,December,7,15,Afternoon,1,0,1,2,2.1159939999999997,41.328539
4524,2017S010169    ,Sants-Montjuïc,Sants - Badal,Portbou / Violant Hongria Reina Aragó             ,Wednesday,December,6,0,Night,1,0,1,2,2.126448,41.377306
4838,2017S010179    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,Gràcia                                            ,Wednesday,December,6,13,Morning,1,0,1,2,2.163523,41.404794
5343,2017S010185    ,Eixample,la Nova Esquerra de l'Eixample,Comte Borrell                                     ,Wednesday,December,6,22,Night,1,0,1,2,2.153286,41.384287
5753,2017S010178    ,Sants-Montjuïc,el Poble-sec,Josep Carner                                      ,Wednesday,December,6,11,Morning,3,0,3,2,2.174028,41.371515
6415,2017S010187    ,Sant Andreu,el Bon Pastor,Litoral (Llobregat)                               ,Thursday,December,7,1,Night,2,0,2,1,2.2038279999999997,41.445821
6471,2017S010202    ,Sant Martí,el Clot,Meridiana / València                              ,Friday,December,8,1,Night,0,0,0,2,2.186877,41.410354
6633,2017S010206    ,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Picasso / Princesa                                ,Friday,December,8,13,Morning,1,0,1,2,2.1832290000000003,41.387553000000004
6870,2017S010186    ,Eixample,la Dreta de l'Eixample,Aragó                                             ,Wednesday,December,6,1,Night,2,0,2,2,2.1702,41.395969
6903,2017S010208    ,Eixample,la Dreta de l'Eixample,Sant Joan                                         ,Friday,December,8,18,Afternoon,1,0,1,2,2.1725060000000003,41.397515999999996
7710,2017S010183    ,Sant Andreu,el Bon Pastor,República Dominicana                              ,Wednesday,December,6,19,Afternoon,1,0,1,2,2.1973990000000003,41.440576
8245,2017S010170    ,Eixample,la Dreta de l'Eixample,Bailèn / Diputació                                ,Wednesday,December,6,1,Night,1,0,1,2,2.17318,41.39498
8323,2017S010207    ,Eixample,la Sagrada Família,Aragó / Sardenya                                  ,Friday,December,8,15,Afternoon,1,0,1,2,2.176586,41.400921999999994
8484,2017S010189    ,Les Corts,les Corts,Carles III / Europa                               ,Thursday,December,7,11,Morning,1,0,1,2,2.127138,41.386435
8519,2017S010196    ,Les Corts,les Corts,Diagonal / Numància                               ,Thursday,December,7,14,Afternoon,1,0,1,1,2.1326080000000003,41.389624
8733,2017S010191    ,Gràcia,Vallcarca i els Penitents,Mare de Déu del Coll                              ,Thursday,December,7,11,Morning,1,0,1,1,2.144627,41.414016
9177,2017S010184    ,Sant Martí,el Poblenou,Litoral (Besòs)                                   ,Wednesday,December,6,22,Night,1,0,1,3,2.204611,41.393827
15,2017S003439    ,Sant Martí,el Camp de l'Arpa del Clot,Còrsega / Còrsega                                 ,Monday,April,17,14,Afternoon,1,0,1,2,2.178314,41.410784
107,2017S003392    ,Sant Martí,Provençals del Poblenou,Veneçuela / Selva de Mar                          ,Friday,April,14,11,Morning,1,0,1,2,2.20736,41.410118
316,2017S003423    ,Eixample,Sant Antoni,Corts Catalanes / Viladomat                       ,Saturday,April,15,15,Afternoon,1,0,1,3,2.156297,41.380433000000004
356,2017S003425    ,Eixample,la Dreta de l'Eixample,Diagonal                                          ,Saturday,April,15,19,Afternoon,1,0,1,2,2.157645,41.395813000000004
373,2017S003429    ,Eixample,la Dreta de l'Eixample,Corts Catalanes                                   ,Sunday,April,16,8,Morning,1,1,2,2,2.167008,41.388822
549,2017S003442    ,Eixample,la Dreta de l'Eixample,Corts Catalanes / Gràcia                          ,Monday,April,17,18,Afternoon,1,0,1,2,2.1682740000000003,41.389418
1022,2017S003418    ,Gràcia,la Vila de Gràcia,Torrent d'en Vidalet / Encarnació                 ,Saturday,April,15,11,Morning,1,0,1,2,2.1580619999999997,41.405149
1062,2017S003709    ,Horta-Guinardó,la Font d'en Fargues,Pedrell                                           ,Sunday,April,16,4,Night,1,0,1,4,2.167418,41.424724
1120,2017S003440    ,Horta-Guinardó,el Guinardó,Lluís Sagnier / Varsòvia                          ,Monday,April,17,14,Afternoon,1,0,1,2,2.176643,41.424062
1320,2017S003432    ,Sant Martí,el Besòs i el Maresme,Diagonal / Josep Pla                              ,Sunday,April,16,17,Afternoon,4,0,4,2,2.214212,41.410092
1331,2017S003391    ,Sant Martí,Provençals del Poblenou,C-31                                              ,Friday,April,14,7,Morning,1,0,1,2,2.205805,41.417384000000006
