,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved
9162,Sant Martí,Thursday,November,16,Afternoon,1,0,1,2
9163,Sant Martí,Saturday,February,11,Night,4,0,4,2
9165,Sant Martí,Thursday,March,23,Morning,1,0,1,2
9166,Sant Martí,Wednesday,February,1,Afternoon,3,0,3,2
9167,Sant Martí,Friday,January,27,Morning,1,0,1,2
9168,Sant Martí,Tuesday,September,26,Morning,2,0,2,2
9169,Sant Martí,Tuesday,April,25,Morning,0,0,0,3
9170,Sant Martí,Thursday,April,13,Morning,1,0,1,2
9172,Sant Martí,Friday,July,14,Afternoon,1,0,1,2
9173,Sant Martí,Thursday,November,30,Afternoon,1,1,2,2
9174,Sant Martí,Wednesday,January,18,Afternoon,1,0,1,1
9175,Sant Martí,Tuesday,February,21,Morning,1,0,1,1
9176,Sant Martí,Thursday,August,17,Afternoon,2,0,2,2
9178,Sant Martí,Wednesday,October,11,Afternoon,1,0,1,2
9179,Sant Martí,Wednesday,March,1,Morning,1,0,1,2
9180,Sant Martí,Sunday,March,26,Morning,2,0,2,2
9181,Sant Martí,Sunday,March,26,Night,1,0,1,1
9182,Sant Martí,Sunday,October,8,Night,1,0,1,2
9183,Sant Martí,Monday,June,26,Morning,1,0,1,2
9185,Sant Martí,Wednesday,August,2,Night,1,0,1,1
9186,Sant Martí,Thursday,August,10,Afternoon,1,0,1,2
9189,Sant Martí,Wednesday,May,10,Afternoon,0,0,0,2
9190,Sant Martí,Thursday,January,12,Morning,2,0,2,2
9191,Sant Martí,Wednesday,December,13,Morning,2,0,2,2
9192,Sant Martí,Thursday,April,13,Night,1,0,1,2
9193,Sant Martí,Tuesday,February,28,Afternoon,1,0,1,1
9194,Sant Martí,Wednesday,May,31,Morning,1,0,1,1
9195,Sant Martí,Wednesday,March,29,Afternoon,1,0,1,2
9196,Sant Martí,Thursday,June,15,Morning,0,1,1,1
9197,Sant Martí,Wednesday,March,15,Afternoon,1,0,1,2
9199,Sant Martí,Monday,July,17,Morning,1,0,1,1
9200,Sant Martí,Monday,March,27,Afternoon,1,0,1,2
9201,Sant Martí,Thursday,October,19,Morning,1,0,1,1
9202,Sant Martí,Friday,December,1,Afternoon,1,0,1,1
9203,Sant Martí,Tuesday,June,6,Morning,2,0,2,2
9204,Sant Martí,Tuesday,September,26,Morning,1,0,1,2
9205,Sant Martí,Saturday,December,2,Morning,2,0,2,2
