,Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
6972,2017S006928    ,Eixample,la Dreta de l'Eixample,Corts Catalanes / Universitat                     ,Friday,August,11,21,Afternoon,1,0,1,2,2.163105,41.385546999999995
6973,2017S005860    ,Eixample,la Dreta de l'Eixample,Girona / Diputació                                ,Wednesday,July,5,17,Afternoon,1,0,1,2,2.172027,41.394139
6974,2017S001641    ,Eixample,la Dreta de l'Eixample,ARAGÓ / Bailèn                                    ,Tuesday,February,28,9,Morning,1,0,1,2,2.170918,41.396687
6975,2017S008411    ,Eixample,la Dreta de l'Eixample,Universitat                                       ,Thursday,October,12,7,Morning,0,0,0,5,2.166732,41.386545
6976,2017S005103    ,Eixample,la Dreta de l'Eixample,Sant Joan                                         ,Saturday,June,10,19,Afternoon,1,0,1,2,2.171282,41.397779
6977,2017S003572    ,Eixample,la Dreta de l'Eixample,Sant Joan / València                              ,Friday,April,21,15,Afternoon,0,0,0,2,2.170897,41.398395
6978,2017S009408    ,Eixample,la Dreta de l'Eixample,València                                          ,Monday,November,13,14,Afternoon,1,0,1,2,2.167006,41.395338
6979,2017S003750    ,Eixample,la Dreta de l'Eixample,Bergara                                           ,Thursday,April,27,16,Afternoon,1,0,1,1,2.168836,41.386306
6980,2017S006342    ,Eixample,la Dreta de l'Eixample,Bergara / Catalunya                               ,Thursday,July,20,15,Afternoon,2,0,2,1,2.169382,41.386614
6981,2017S007179    ,Eixample,la Dreta de l'Eixample,Girona / Corts Catalanes                          ,Friday,August,25,16,Afternoon,1,0,1,2,2.173277,41.393182
6982,2017S001528    ,Eixample,el Fort Pienc,GV CORTS CATALANES / Sicília                      ,Friday,February,24,12,Morning,1,0,1,2,2.178932,41.397434999999994
6983,2017S001492    ,Sants-Montjuïc,el Poble-sec,AV PARAL·LEL                                      ,Thursday,February,23,9,Morning,2,0,2,2,2.157305,41.374814
6986,2017S000052    ,Eixample,el Fort Pienc,ARAGÓ / Nàpols                                    ,Tuesday,January,3,12,Morning,1,0,1,3,2.174292,41.399253
6988,2017S000041    ,Eixample,el Fort Pienc,GV CORTS CATALANES                                ,Monday,January,2,23,Night,1,0,1,2,2.182434,41.399724
6989,2017S002209    ,Eixample,el Fort Pienc,MARINA                                            ,Sunday,March,19,13,Morning,1,0,1,2,2.1822529999999998,41.398677
6990,2017S003227    ,Eixample,el Fort Pienc,Sardenya / Consell de Cent                        ,Friday,April,7,14,Afternoon,1,0,1,2,2.1777029999999997,41.400093
6991,2017S003103    ,Eixample,el Fort Pienc,Consell de Cent / Sardenya                        ,Tuesday,April,4,11,Morning,1,0,1,2,2.1777029999999997,41.400093
6992,2017S002077    ,Sants-Montjuïc,el Poble-sec,VALLHONRAT                                        ,Wednesday,March,15,8,Morning,0,0,0,1,2.156693,41.373785
6993,2017S007141    ,Eixample,el Fort Pienc,Corts Catalanes / Padilla                         ,Wednesday,August,23,17,Afternoon,1,0,1,2,2.18351,41.400877
6994,2017S007561    ,Eixample,el Fort Pienc,Padilla / Corts Catalanes                         ,Tuesday,September,12,16,Afternoon,1,0,1,2,2.18351,41.400877
6995,2017S006315    ,Eixample,el Fort Pienc,Castillejos / Corts Catalanes                     ,Wednesday,July,19,17,Afternoon,0,0,0,2,2.1846240000000003,41.401695000000004
6996,2017S004313    ,Eixample,el Fort Pienc,Sicília / Consell de Cent                         ,Monday,May,15,13,Morning,1,0,1,2,2.176552,41.399240999999996
6997,2017S004406    ,Eixample,el Fort Pienc,Sardenya / Diputació                              ,Thursday,May,18,12,Morning,1,0,1,2,2.178844,41.399225
6998,2017S000675    ,Eixample,el Fort Pienc,SARDENYA / Av Diagonal                            ,Thursday,January,26,8,Morning,1,0,1,1,2.176586,41.400921999999994
6999,2017S003552    ,Eixample,el Fort Pienc,Nàpols / Casp                                     ,Friday,April,21,10,Morning,0,0,0,1,2.179047,41.395634
7000,2017S006749    ,Eixample,el Fort Pienc,Nàpols                                            ,Friday,August,4,10,Morning,0,0,0,1,2.179418,41.395505
7001,2017S002554    ,Eixample,el Fort Pienc,LEPANT / Ribes                                    ,Thursday,March,30,14,Afternoon,1,0,1,2,2.183703,41.399102
7002,2017S010129    ,Eixample,el Fort Pienc,Lepant / Diputació                                ,Monday,December,4,21,Afternoon,1,0,1,2,2.181176,41.400999
7003,2017S007700    ,Eixample,el Fort Pienc,Marina                                            ,Sunday,September,17,15,Afternoon,1,0,1,1,2.179697,41.400621
7004,2017S008506    ,Eixample,el Fort Pienc,Diagonal                                          ,Monday,October,16,15,Afternoon,1,0,1,2,2.182986,41.402167
7005,2017S005507    ,Eixample,el Fort Pienc,Roger de Flor                                     ,Friday,June,23,18,Afternoon,1,0,1,2,2.177348,41.395374
7006,2017S008030    ,Eixample,el Fort Pienc,Diputació / Padilla                               ,Friday,September,29,10,Morning,1,0,1,2,2.182277,41.401812
7007,2017S004593    ,Eixample,el Fort Pienc,Padilla / Diputació                               ,Wednesday,May,24,16,Afternoon,1,0,1,2,2.182277,41.401812
7008,2017S002317    ,Eixample,el Fort Pienc,GV CORTS CATALANES                                ,Thursday,March,23,7,Morning,1,0,1,2,2.1846099999999997,41.401358
7009,2017S006010    ,Eixample,el Fort Pienc,Corts Catalanes / Nàpols                          ,Tuesday,July,11,3,Night,0,0,0,2,2.17782,41.396589
7010,2017S000171    ,Eixample,el Fort Pienc,GV CORTS CATALANES / Nàpols                       ,Sunday,January,8,15,Afternoon,1,0,1,1,2.17782,41.396589
7011,2017S004755    ,Eixample,el Fort Pienc,Marina / Diputació                                ,Tuesday,May,30,13,Morning,1,0,1,1,2.179953,41.400065000000005
7012,2017S001745    ,Eixample,el Fort Pienc,CASP / Roger de Flor                              ,Friday,March,3,11,Morning,2,0,2,2,2.17797,41.394788
7013,2017S005281    ,Eixample,el Fort Pienc,Marina / Ausiàs Marc                              ,Friday,June,16,14,Afternoon,1,0,1,1,2.183568,41.397287
7014,2017S010111    ,Eixample,el Fort Pienc,Corts Catalanes / Marina                          ,Monday,December,4,12,Morning,1,0,1,2,2.1811990000000003,41.399111
7015,2017S000929    ,Eixample,el Fort Pienc,PADILLA / Av Diagonal                             ,Friday,February,3,14,Afternoon,1,0,1,2,2.181832,41.402145000000004
7016,2017S010270    ,Eixample,el Fort Pienc,Marina / Diputació                                ,Tuesday,December,12,8,Morning,1,0,1,2,2.179953,41.400065000000005
7017,2017S004609    ,Eixample,el Fort Pienc,Corts Catalanes / Sicília                         ,Thursday,May,25,10,Morning,1,0,1,2,2.178932,41.397434999999994
7018,2017S000521    ,Eixample,el Fort Pienc,GV CORTS CATALANES / Sicília                      ,Thursday,January,19,22,Night,1,0,1,2,2.178932,41.397434999999994
7019,2017S002099    ,Eixample,el Fort Pienc,GV CORTS CATALANES / Sardenya                     ,Wednesday,March,15,21,Afternoon,0,1,1,2,2.180078,41.398284999999994
7020,2017S000581    ,Eixample,el Fort Pienc,GV CORTS CATALANES / Marina                       ,Saturday,January,21,23,Night,1,0,1,2,2.1811990000000003,41.399111
7021,2017S010572    ,Eixample,el Fort Pienc,Nàpols / Ausiàs Marc                              ,Thursday,December,21,20,Afternoon,1,0,1,2,2.180212,41.394771
7022,2017S004632    ,Eixample,el Fort Pienc,Lepant / Casp                                     ,Thursday,May,25,22,Night,2,0,2,2,2.183703,41.399102
7023,2017S007957    ,Eixample,el Fort Pienc,Corts Catalanes / Marina                          ,Tuesday,September,26,17,Afternoon,1,0,1,2,2.1811990000000003,41.399111
7024,2017S006123    ,Eixample,el Fort Pienc,Aragó / Nàpols                                    ,Thursday,July,13,20,Afternoon,1,0,1,2,2.174292,41.399253
7025,2017S004658    ,Eixample,la Sagrada Família,Rosselló / Padilla                                ,Friday,May,26,16,Afternoon,0,1,1,2,2.1755009999999997,41.406960999999995
7026,2017S007062    ,Eixample,la Sagrada Família,València / Sardenya                               ,Friday,August,18,16,Afternoon,1,0,1,2,2.175441,41.401785
7027,2017S003789    ,Eixample,la Sagrada Família,Mallorca / Nàpols                                 ,Friday,April,28,14,Afternoon,1,0,1,2,2.172039,41.400953
7028,2017S005034    ,Eixample,la Sagrada Família,Provença                                          ,Thursday,June,8,22,Night,1,0,1,1,2.1747919999999996,41.404861
7029,2017S001234    ,Eixample,la Sagrada Família,MARINA                                            ,Tuesday,February,14,16,Afternoon,1,0,1,2,2.174131,41.404589
7030,2017S002463    ,Eixample,la Sagrada Família,AV DIAGONAL / Sicília                             ,Tuesday,March,28,8,Morning,1,0,1,2,2.1754279999999997,41.400076
7031,2017S003602    ,Eixample,la Sagrada Família,Padilla / Indústria                               ,Saturday,April,22,11,Morning,1,0,1,2,2.1732419999999997,41.408668
