,Unnamed: 0,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Date
577,577,Sants-Montjuïc,Tuesday,August,15,Afternoon,2,0,2,2,August 15
578,578,Sant Martí,Tuesday,August,15,Afternoon,2,0,2,2,August 15
579,579,Sarrià-Sant Gervasi,Tuesday,August,15,Morning,4,0,4,1,August 15
580,580,Sant Andreu,Tuesday,August,15,Morning,1,0,1,2,August 15
581,581,Eixample,Thursday,October,12,Afternoon,1,0,1,2,October 12
582,582,Horta-Guinardó,Thursday,October,12,Night,3,0,3,1,October 12
583,583,Nou Barris,Thursday,October,12,Night,1,0,1,2,October 12
584,584,Nou Barris,Thursday,October,12,Night,1,0,1,2,October 12
585,585,Sant Martí,Thursday,October,12,Afternoon,1,0,1,1,October 12
586,586,Eixample,Thursday,October,12,Afternoon,2,0,2,3,October 12
587,587,Eixample,Thursday,October,12,Afternoon,1,0,1,2,October 12
588,588,Sant Andreu,Thursday,October,12,Night,2,0,2,2,October 12
589,589,Sarrià-Sant Gervasi,Thursday,October,12,Afternoon,1,0,1,2,October 12
590,590,Nou Barris,Thursday,October,12,Afternoon,1,0,1,1,October 12
591,591,Eixample,Thursday,October,12,Afternoon,1,0,1,2,October 12
592,592,Eixample,Thursday,October,12,Morning,0,0,0,5,October 12
593,593,Eixample,Thursday,October,12,Morning,1,0,1,2,October 12
594,594,Sant Martí,Thursday,October,12,Afternoon,1,0,1,1,October 12
595,595,Eixample,Thursday,October,12,Afternoon,3,0,3,3,October 12
596,596,Les Corts,Thursday,October,12,Afternoon,1,0,1,2,October 12
597,597,Sarrià-Sant Gervasi,Thursday,October,12,Afternoon,1,0,1,2,October 12
598,598,Eixample,Wednesday,November,1,Morning,1,0,1,2,November 1
599,599,Eixample,Wednesday,November,1,Afternoon,1,0,1,2,November 1
600,600,Eixample,Wednesday,November,1,Night,1,0,1,2,November 1
601,601,Horta-Guinardó,Wednesday,November,1,Night,1,0,1,2,November 1
602,602,Nou Barris,Wednesday,November,1,Afternoon,4,0,4,2,November 1
603,603,Sarrià-Sant Gervasi,Wednesday,November,1,Morning,1,0,1,2,November 1
604,604,Eixample,Wednesday,November,1,Afternoon,1,0,1,3,November 1
605,605,Eixample,Wednesday,November,1,Afternoon,1,0,1,3,November 1
606,606,Gràcia,Wednesday,November,1,Afternoon,1,0,1,2,November 1
607,607,Nou Barris,Wednesday,November,1,Morning,1,0,1,2,November 1
608,608,Sant Martí,Tuesday,December,26,Afternoon,2,0,2,1,December 26
609,609,Les Corts,Tuesday,December,26,Morning,1,0,1,2,December 26
610,610,Horta-Guinardó,Tuesday,December,26,Afternoon,1,0,1,2,December 26
611,611,Sant Martí,Tuesday,December,26,Night,5,0,5,2,December 26
612,612,Eixample,Tuesday,December,26,Afternoon,1,0,1,2,December 26
613,613,Eixample,Tuesday,December,26,Morning,1,0,1,2,December 26
614,614,Eixample,Tuesday,December,26,Afternoon,2,0,2,1,December 26
615,615,Les Corts,Tuesday,December,26,Morning,1,0,1,2,December 26
616,616,Gràcia,Tuesday,December,26,Morning,1,0,1,2,December 26
617,617,Horta-Guinardó,Tuesday,December,26,Afternoon,1,0,1,2,December 26
618,618,Sant Martí,Tuesday,December,26,Morning,1,0,1,1,December 26
619,619,Sarrià-Sant Gervasi,Tuesday,December,26,Night,1,0,1,1,December 26
620,620,Horta-Guinardó,Tuesday,December,26,Morning,1,0,1,2,December 26
621,621,Nou Barris,Tuesday,December,26,Morning,1,0,1,2,December 26
622,622,Sant Martí,Tuesday,December,26,Afternoon,3,0,3,3,December 26
623,623,Eixample,Tuesday,December,26,Night,4,0,4,4,December 26
624,624,Eixample,Tuesday,December,26,Afternoon,1,0,1,2,December 26
625,625,Gràcia,Tuesday,December,26,Afternoon,1,0,1,2,December 26
626,626,Horta-Guinardó,Tuesday,December,26,Afternoon,1,0,1,2,December 26
627,627,Horta-Guinardó,Tuesday,December,26,Night,0,0,0,1,December 26
628,628,Sant Andreu,Tuesday,December,26,Afternoon,1,0,1,1,December 26
629,629,Gràcia,Tuesday,December,26,Afternoon,0,0,0,1,December 26
630,630,Horta-Guinardó,Tuesday,December,26,Morning,0,0,0,2,December 26
631,631,Sant Andreu,Tuesday,December,26,Afternoon,1,0,1,2,December 26
632,632,Sant Martí,Sunday,April,23,Morning,1,0,1,2,April 23
633,633,Sant Martí,Sunday,April,23,Afternoon,5,0,5,5,April 23
634,634,Les Corts,Sunday,April,23,Afternoon,1,0,1,1,April 23
635,635,Gràcia,Sunday,April,23,Afternoon,0,0,0,2,April 23
636,636,Ciutat Vella,Sunday,April,23,Morning,2,0,2,2,April 23
637,637,Eixample,Sunday,April,23,Afternoon,1,0,1,2,April 23
638,638,Sarrià-Sant Gervasi,Sunday,April,23,Afternoon,2,0,2,2,April 23
639,639,Ciutat Vella,Sunday,April,23,Afternoon,0,0,0,3,April 23
640,640,Eixample,Sunday,April,23,Afternoon,2,0,2,2,April 23
641,641,Sant Martí,Sunday,April,23,Afternoon,0,2,2,2,April 23
642,642,Ciutat Vella,Sunday,April,23,Afternoon,1,0,1,2,April 23
643,643,Eixample,Sunday,April,23,Morning,0,0,0,1,April 23
644,644,Sants-Montjuïc,Sunday,April,23,Morning,0,0,0,1,April 23
645,645,Sant Andreu,Sunday,April,23,Afternoon,0,0,0,2,April 23
646,646,Eixample,Sunday,April,23,Night,1,0,1,1,April 23
647,647,Les Corts,Sunday,April,23,Afternoon,4,0,4,3,April 23
648,648,Sant Martí,Tuesday,February,14,Afternoon,1,0,1,1,February 14
649,649,Eixample,Tuesday,February,14,Morning,1,0,1,2,February 14
650,650,Sant Martí,Tuesday,February,14,Night,1,0,1,2,February 14
651,651,Eixample,Tuesday,February,14,Afternoon,1,0,1,2,February 14
652,652,Eixample,Tuesday,February,14,Morning,1,0,1,2,February 14
653,653,Les Corts,Tuesday,February,14,Afternoon,1,0,1,1,February 14
654,654,Unknown,Tuesday,February,14,Afternoon,1,0,1,2,February 14
655,655,Sant Martí,Tuesday,February,14,Morning,1,0,1,2,February 14
656,656,Sant Martí,Tuesday,February,14,Afternoon,1,0,1,2,February 14
657,657,Eixample,Tuesday,February,14,Afternoon,1,0,1,2,February 14
658,658,Eixample,Tuesday,February,14,Night,2,0,2,2,February 14
659,659,Sants-Montjuïc,Tuesday,February,14,Morning,1,0,1,2,February 14
660,660,Les Corts,Tuesday,February,14,Morning,1,0,1,2,February 14
661,661,Sarrià-Sant Gervasi,Tuesday,February,14,Afternoon,1,0,1,2,February 14
662,662,Sarrià-Sant Gervasi,Tuesday,February,14,Afternoon,1,0,1,2,February 14
663,663,Horta-Guinardó,Tuesday,February,14,Afternoon,1,0,1,2,February 14
664,664,Eixample,Tuesday,February,14,Afternoon,1,0,1,1,February 14
665,665,Eixample,Tuesday,February,14,Afternoon,1,0,1,2,February 14
666,666,Sant Martí,Tuesday,February,14,Afternoon,1,0,1,2,February 14
667,667,Eixample,Tuesday,February,14,Morning,1,0,1,1,February 14
668,668,Eixample,Tuesday,February,14,Morning,1,0,1,2,February 14
669,669,Sant Martí,Tuesday,February,14,Afternoon,1,0,1,2,February 14
670,670,Eixample,Tuesday,February,14,Afternoon,1,0,1,2,February 14
671,671,Eixample,Tuesday,February,14,Morning,1,0,1,2,February 14
672,672,Eixample,Tuesday,February,14,Afternoon,1,0,1,2,February 14
673,673,Les Corts,Tuesday,February,14,Afternoon,2,0,2,2,February 14
674,674,Gràcia,Tuesday,February,14,Afternoon,1,0,1,2,February 14
675,675,Horta-Guinardó,Tuesday,February,14,Afternoon,4,0,4,1,February 14
676,676,Eixample,Tuesday,February,14,Morning,1,0,1,2,February 14
677,677,Eixample,Tuesday,February,14,Morning,1,0,1,2,February 14
678,678,Eixample,Tuesday,February,14,Morning,1,0,1,3,February 14
679,679,Sarrià-Sant Gervasi,Tuesday,February,14,Afternoon,0,0,0,2,February 14
680,680,Eixample,Tuesday,February,14,Afternoon,1,0,1,2,February 14
681,681,Eixample,Tuesday,February,14,Afternoon,1,0,1,2,February 14
682,682,Eixample,Tuesday,February,14,Morning,1,0,1,2,February 14
683,683,Eixample,Tuesday,February,14,Morning,1,0,1,2,February 14
684,684,Les Corts,Tuesday,February,14,Morning,1,0,1,2,February 14
685,685,Sarrià-Sant Gervasi,Tuesday,February,14,Afternoon,1,0,1,2,February 14
686,686,Horta-Guinardó,Tuesday,February,14,Afternoon,0,0,0,1,February 14
687,687,Horta-Guinardó,Tuesday,February,14,Morning,2,0,2,2,February 14
