,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved
63,Eixample,Sunday,September,24,Night,2,0,2,2
64,Eixample,Sunday,September,24,Night,1,0,1,1
65,Eixample,Friday,September,22,Night,2,0,2,2
66,Sants-Montjuïc,Friday,September,22,Afternoon,2,0,2,2
67,Sants-Montjuïc,Sunday,September,24,Afternoon,1,0,1,2
68,Sants-Montjuïc,Friday,September,22,Afternoon,2,0,2,2
69,Sants-Montjuïc,Monday,September,25,Afternoon,1,0,1,1
70,Sarrià-Sant Gervasi,Friday,September,22,Afternoon,1,0,1,2
71,Eixample,Sunday,September,24,Afternoon,2,0,2,1
72,Eixample,Saturday,September,23,Afternoon,2,0,2,1
73,Eixample,Friday,September,22,Morning,1,0,1,2
74,Eixample,Friday,September,22,Night,0,0,0,1
75,Eixample,Sunday,September,24,Morning,2,0,2,2
76,Les Corts,Saturday,September,23,Morning,1,0,1,3
77,Les Corts,Friday,September,22,Afternoon,2,0,2,2
78,Les Corts,Friday,September,22,Morning,2,0,2,2
79,Nou Barris,Monday,September,25,Morning,1,0,1,2
80,Nou Barris,Sunday,September,24,Afternoon,5,0,5,5
81,Sant Martí,Saturday,September,23,Morning,2,0,2,1
82,Sant Martí,Saturday,September,23,Afternoon,1,0,1,2
83,Sant Martí,Saturday,September,23,Afternoon,1,0,1,2
84,Ciutat Vella,Friday,September,22,Afternoon,2,0,2,2
85,Ciutat Vella,Monday,September,25,Morning,0,0,0,2
86,Eixample,Friday,September,22,Afternoon,1,0,1,2
87,Eixample,Sunday,September,24,Night,1,0,1,1
88,Eixample,Sunday,September,24,Afternoon,1,0,1,2
89,Sarrià-Sant Gervasi,Friday,September,22,Afternoon,1,0,1,2
90,Sarrià-Sant Gervasi,Friday,September,22,Morning,2,0,2,3
91,Horta-Guinardó,Friday,September,22,Afternoon,1,0,1,2
92,Horta-Guinardó,Saturday,September,23,Morning,1,0,1,2
93,Sants-Montjuïc,Saturday,September,23,Morning,2,0,2,2
94,Sants-Montjuïc,Friday,September,22,Afternoon,1,0,1,2
95,Les Corts,Monday,September,25,Afternoon,1,0,1,2
96,Les Corts,Sunday,September,24,Afternoon,1,0,1,2
97,Les Corts,Saturday,September,23,Afternoon,1,0,1,2
98,Les Corts,Sunday,September,24,Night,1,0,1,2
99,Sarrià-Sant Gervasi,Monday,September,25,Morning,2,0,2,1
100,Horta-Guinardó,Saturday,September,23,Afternoon,2,0,2,2
101,Horta-Guinardó,Friday,September,22,Afternoon,1,0,1,2
102,Horta-Guinardó,Sunday,September,24,Morning,1,0,1,1
103,Horta-Guinardó,Friday,September,22,Afternoon,1,0,1,2
