Mes;Nom mes;Any;Regió Policial (RP);Àrea Bàsica Policial (ABP);Títol Codi Penal;Tipus de fet;Coneguts;Resolts;Detencions
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;169;13;8
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;58;11;3
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;13;6;1
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Usurpació;1;1;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluid elèctric i anàlogues;2;2;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Sostracció de cosa pròpia d'utilitat social;1;1;1
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra l’honor;Injúria;1;1;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra l’honor;Calúmnia;1;1;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra la Constitució;Contra exercici drets fonamentals i llibertats públiques;1;;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;4;1;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Entrada a domicili aliè;2;1;1
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra la llibertat;Amenaces;30;27;5
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra la llibertat;Coaccions;14;10;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;10;6;3
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra la llibertat i la indemnitat sexuals;Agressions sexuals;3;2;1
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra la llibertat i la indemnitat sexuals;Exhibicionisme i provocació sexual;;1;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra la llibertat i la indemnitat sexuals;Relatius a la prostitució;1;1;
