"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Edat_mitjana","Nombre"
2019,8,"Nou Barris",53,"la Trinitat Nova","Domicilis mixtos",32.4110769230769
2019,8,"Nou Barris",54,"Torre Baró","Domicilis mixtos",31.6454948301329
2019,8,"Nou Barris",55,"Ciutat Meridiana","Domicilis mixtos",30.9135135135135
2019,8,"Nou Barris",56,"Vallbona","Domicilis mixtos",31.709219858156
2019,9,"Sant Andreu",57,"la Trinitat Vella","Domicilis mixtos",32.3844552394171
2019,9,"Sant Andreu",58,"Baró de Viver","Domicilis mixtos",32.31
2019,9,"Sant Andreu",59,"el Bon Pastor","Domicilis mixtos",34.6283592644979
2019,9,"Sant Andreu",60,"Sant Andreu","Domicilis mixtos",35.7692433404151
2019,9,"Sant Andreu",61,"la Sagrera","Domicilis mixtos",35.1773669240146
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Domicilis mixtos",35.683320220299
2019,9,"Sant Andreu",63,"Navas","Domicilis mixtos",35.9827631927871
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Domicilis mixtos",36.2257264839554
2019,10,"Sant Martí",65,"el Clot","Domicilis mixtos",35.3902553291169
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Domicilis mixtos",33.4819241111443
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Domicilis mixtos",34.6632911392405
2019,10,"Sant Martí",68,"el Poblenou","Domicilis mixtos",35.009015138629
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Domicilis mixtos",34.0245174752217
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Domicilis mixtos",32.7446875
2019,10,"Sant Martí",71,"Provençals del Poblenou","Domicilis mixtos",34.8951612903226
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Domicilis mixtos",36.7570247933884
2019,10,"Sant Martí",73,"la Verneda i la Pau","Domicilis mixtos",35.2168071654373
