"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Poblacio_16_64_anys","Pes_atur"
2020,5,1,"Ciutat Vella",2,"el Barri Gòtic",15462,"8.1"
2020,5,1,"Ciutat Vella",3,"la Barceloneta",11337,"11.5"
2020,5,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17710,"10.2"
2020,5,2,"Eixample",5,"el Fort Pienc",21844,"7.2"
2020,5,2,"Eixample",6,"la Sagrada Família",34705,"7.3"
2020,5,2,"Eixample",7,"la Dreta de l'Eixample",29350,"5.9"
2020,5,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",29117,"6.3"
2020,5,2,"Eixample",9,"la Nova Esquerra de l'Eixample",38455,"7.1"
2020,5,2,"Eixample",10,"Sant Antoni",25754,"7.9"
2020,5,3,"Sants-Montjuïc",11,"el Poble Sec",28836,"9.7"
2020,5,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",816,"14.8"
2020,5,3,"Sants-Montjuïc",13,"la Marina de Port",20506,"9.8"
2020,5,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6897,"10.2"
2020,5,3,"Sants-Montjuïc",15,"Hostafrancs",11132,"8.0"
2020,5,3,"Sants-Montjuïc",16,"la Bordeta",12688,"8.3"
2020,5,3,"Sants-Montjuïc",17,"Sants - Badal",16163,"6.9"
2020,5,3,"Sants-Montjuïc",18,"Sants",28367,"7.5"
2020,5,4,"Les Corts",19,"les Corts",28471,"7.6"
2020,5,4,"Les Corts",20,"la Maternitat i Sant Ramon",14547,"7.5"
2020,5,4,"Les Corts",21,"Pedralbes",7025,"3.5"
2020,5,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3121,"3.7"
2020,5,5,"Sarrià-Sant Gervasi",23,"Sarrià",14983,"3.7"
2020,5,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",10066,"4.5"
2020,5,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",15861,"4.6"
2020,5,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29773,"4.4"
2020,5,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",19029,"6.4"
2020,5,6,"Gràcia",28,"Vallcarca i els Penitents",9998,"8.1"
2020,5,6,"Gràcia",29,"el Coll",4950,"6.8"
2020,5,6,"Gràcia",30,"la Salut",8292,"8.3"
2020,5,6,"Gràcia",31,"la Vila de Gràcia",34941,"7.4"
2020,5,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",22614,"7.3"
2020,5,7,"Horta-Guinardó",33,"el Baix Guinardó",16570,"7.7"
2020,5,7,"Horta-Guinardó",34,"Can Baró",6031,"8.2"
2020,5,7,"Horta-Guinardó",35,"el Guinardó",24108,"8.1"
2020,5,7,"Horta-Guinardó",36,"la Font d'en Fargues",5794,"10.3"
2020,5,7,"Horta-Guinardó",37,"el Carmel",20567,"9.9"
2020,5,7,"Horta-Guinardó",38,"la Teixonera",7751,"8.3"
2020,5,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",4555,"8.6"
2020,5,7,"Horta-Guinardó",40,"Montbau",3125,"9.1"
2020,5,7,"Horta-Guinardó",41,"la Vall d'Hebron",3500,"8.6"
2020,5,7,"Horta-Guinardó",42,"la Clota",479,"4.4"
2020,5,7,"Horta-Guinardó",43,"Horta",17002,"10.0"
2020,5,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",16192,"9.8"
2020,5,8,"Nou Barris",45,"Porta",16782,"9.2"
2020,5,8,"Nou Barris",46,"el Turó de la Peira",10172,"9.7"
2020,5,8,"Nou Barris",47,"Can Peguera",1406,"9.7"
2020,5,8,"Nou Barris",48,"la Guineueta",8971,"12.1"
2020,5,8,"Nou Barris",49,"Canyelles",4135,"12.8"
2020,5,8,"Nou Barris",50,"les Roquetes",10739,"10.7"
2020,5,8,"Nou Barris",51,"Verdun",8117,"10.9"
2020,5,8,"Nou Barris",52,"la Prosperitat",16606,"10.5"
2020,5,8,"Nou Barris",53,"la Trinitat Nova",5082,"15.2"
2020,5,8,"Nou Barris",54,"Torre Baró",1996,"10.7"
2020,5,8,"Nou Barris",55,"Ciutat Meridiana",7070,"15.8"
2020,5,8,"Nou Barris",56,"Vallbona",893,"14.5"
2020,5,9,"Sant Andreu",57,"la Trinitat Vella",6917,"14.9"
2020,5,9,"Sant Andreu",58,"Baró de Viver",1732,"8.3"
2020,5,9,"Sant Andreu",59,"el Bon Pastor",8481,"9.7"
2020,5,9,"Sant Andreu",60,"Sant Andreu",36844,"9.0"
2020,5,9,"Sant Andreu",61,"la Sagrera",18519,"8.4"
2020,5,9,"Sant Andreu",62,"el Congrés i els Indians",9449,"8.0"
2020,5,9,"Sant Andreu",63,"Navas",14220,"8.2"
2020,5,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",25518,"8.9"
2020,5,10,"Sant Martí",65,"el Clot",18066,"8.4"
