nationality,dist,num_immi
Guinea,Sant Martí,5
Guinea,Sants-Montjuïc,6
Guinea,Sarrià-Sant Gervasi,1
Guinea-Bissau,Ciutat Vella,2
Guinea-Bissau,Eixample,1
Guinea-Bissau,Gràcia,0
Guinea-Bissau,Horta-Guinardó,1
Guinea-Bissau,Les Corts,1
Guinea-Bissau,No consta,0
Guinea-Bissau,Nou Barris,3
Guinea-Bissau,Sant Andreu,1
Guinea-Bissau,Sant Martí,2
Guinea-Bissau,Sants-Montjuïc,1
Guinea-Bissau,Sarrià-Sant Gervasi,1
Haiti,Ciutat Vella,1
Haiti,Eixample,1
Haiti,Gràcia,1
Haiti,Horta-Guinardó,0
Haiti,Les Corts,0
Haiti,No consta,0
Haiti,Nou Barris,0
Haiti,Sant Andreu,1
Haiti,Sant Martí,0
Haiti,Sants-Montjuïc,2
Haiti,Sarrià-Sant Gervasi,0
Honduras,Ciutat Vella,102
Honduras,Eixample,217
Honduras,Gràcia,104
Honduras,Horta-Guinardó,365
Honduras,Les Corts,59
Honduras,No consta,0
Honduras,Nou Barris,1091
Honduras,Sant Andreu,234
Honduras,Sant Martí,247
Honduras,Sants-Montjuïc,261
Honduras,Sarrià-Sant Gervasi,87
Hungary,Ciutat Vella,47
Hungary,Eixample,33
Hungary,Gràcia,7
Hungary,Horta-Guinardó,21
Hungary,Les Corts,1
Hungary,No consta,0
Hungary,Nou Barris,5
Hungary,Sant Andreu,4
Hungary,Sant Martí,29
Hungary,Sants-Montjuïc,15
Hungary,Sarrià-Sant Gervasi,14
Iceland,Ciutat Vella,1
Iceland,Eixample,3
Iceland,Gràcia,4
Iceland,Horta-Guinardó,1
Iceland,Les Corts,2
Iceland,No consta,0
Iceland,Nou Barris,0
Iceland,Sant Andreu,1
Iceland,Sant Martí,10
Iceland,Sants-Montjuïc,0
Iceland,Sarrià-Sant Gervasi,4
India,Ciutat Vella,364
India,Eixample,168
India,Gràcia,90
India,Horta-Guinardó,74
India,Les Corts,51
India,No consta,0
India,Nou Barris,116
India,Sant Andreu,63
India,Sant Martí,130
India,Sants-Montjuïc,318
India,Sarrià-Sant Gervasi,67
Indonesia,Ciutat Vella,2
Indonesia,Eixample,11
Indonesia,Gràcia,1
Indonesia,Horta-Guinardó,1
Indonesia,Les Corts,4
Indonesia,No consta,0
Indonesia,Nou Barris,0
Indonesia,Sant Andreu,1
Indonesia,Sant Martí,7
Indonesia,Sants-Montjuïc,6
Indonesia,Sarrià-Sant Gervasi,7
Iran,Ciutat Vella,36
Iran,Eixample,86
Iran,Gràcia,16
Iran,Horta-Guinardó,24
Iran,Les Corts,66
Iran,No consta,0
Iran,Nou Barris,1
Iran,Sant Andreu,16
Iran,Sant Martí,45
Iran,Sants-Montjuïc,65
Iran,Sarrià-Sant Gervasi,46
Iraq,Ciutat Vella,4
Iraq,Eixample,7
Iraq,Gràcia,2
Iraq,Horta-Guinardó,0
Iraq,Les Corts,7
Iraq,No consta,0
Iraq,Nou Barris,0
Iraq,Sant Andreu,2
Iraq,Sant Martí,4
Iraq,Sants-Montjuïc,4
Iraq,Sarrià-Sant Gervasi,5
Ireland,Ciutat Vella,54
Ireland,Eixample,38
Ireland,Gràcia,19
Ireland,Horta-Guinardó,11
Ireland,Les Corts,8
Ireland,No consta,0
Ireland,Nou Barris,5
Ireland,Sant Andreu,0
Ireland,Sant Martí,31
