"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL",
"92086012480","Àrea de Joc Infantil a la Rambla Prim - Cristobal de Moura - Pere IV","#","Rbla","Prim","97","97","70","el Besòs i el Maresme","10","Sant Martí","08019","019","BARCELONA","41.417242","2.210993","434063.28","4585376.876","434155.245","4585577.842","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012480","Àrea de Joc Infantil a la Rambla Prim - Cristobal de Moura - Pere IV","#","Rbla","Prim","97","97","70","el Besòs i el Maresme","10","Sant Martí","08019","019","BARCELONA","41.417242","2.210993","434063.28","4585376.876","434155.245","4585577.842","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086012497","Àrea de Joc Infantil a Reis Catòlics","#","C","Reis Catòlics","17","17","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.41481","2.10305","425039.694","4585194.756","425131.576","4585395.718","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012497","Àrea de Joc Infantil a Reis Catòlics","#","C","Reis Catòlics","17","17","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.41481","2.10305","425039.694","4585194.756","425131.576","4585395.718","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086012500","Àrea de Joc Infantil a la Plaça Font de la Mulassa","#","Pl","Font de la Mulassa","8","8","37","el Carmel","07","Horta-Guinardó","08032","019","BARCELONA","41.421553","2.162867","430045.979","4585893.253","430137.907","4586094.223","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086012500","Àrea de Joc Infantil a la Plaça Font de la Mulassa","#","Pl","Font de la Mulassa","8","8","37","el Carmel","07","Horta-Guinardó","08032","019","BARCELONA","41.421553","2.162867","430045.979","4585893.253","430137.907","4586094.223","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012501","Àrea de Joc Infantil a Josep Sangenis","#","C","Josep Sangenís","45","45","38","la Teixonera","07","Horta-Guinardó","08035","019","BARCELONA","41.424523","2.149422","428925.719","4586233.925","429017.636","4586434.898","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012501","Àrea de Joc Infantil a Josep Sangenis","#","C","Josep Sangenís","45","45","38","la Teixonera","07","Horta-Guinardó","08035","019","BARCELONA","41.424523","2.149422","428925.719","4586233.925","429017.636","4586434.898","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086012503","Àrea de Joc Infantil a la Rambla Prim- Guipúscoa - Binefar","#","Rbla","Prim","236","236","73","la Verneda i la Pau","10","Sant Martí","08020","019","BARCELONA","41.424063","2.203033","433405.049","4586140.263","433497.008","4586341.236","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012503","Àrea de Joc Infantil a la Rambla Prim- Guipúscoa - Binefar","#","Rbla","Prim","236","236","73","la Verneda i la Pau","10","Sant Martí","08020","019","BARCELONA","41.424063","2.203033","433405.049","4586140.263","433497.008","4586341.236","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
